Timestamp,Batch_ID,ID,Title,Price,Zip_Path,Zip_MB,QA_Status,QA_Reason,Projected_Fee_USD,Fee_Status,Launch_Status,Etsy_Listing_ID,Notes
2026-05-06T20:08:28,ETSY-DIGITAL-20260506-200824,Poster-Academia-0001,Celestial Gateway Dark Academia Poster | Moonstone Architecture Study Decor | Digital Printable Wall Art 2x3 3x4 4x5 5x7 11x14,6.99,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0001_celestial-gateway-dark-academia-poster-12x18-study-decor-moonstone-architecture.zip,11.31,PASS,,0.20,RESERVED_NOT_SPENT,READY_BLOCKED_ETSY_AUTH,,etsy paid_publish blocked by Account_Risk_State: LOGIN_ANOMALY | Edge and Chrome/Google login showed Etsy red error. Pause Etsy UI/API publish until account access is stable.
2026-05-06T20:08:31,ETSY-DIGITAL-20260506-200824,Poster-Academia-0002,Dark Academia Obsidian Threshold Poster | Vintage Study Decor | Mentor Wisdom | Premium Digital Print | 12x18,6.99,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0002_dark-academia-obsidian-threshold-poster-12x18-vintage-study-decor-mentor-wisdom.zip,12.63,PASS,,0.20,RESERVED_NOT_SPENT,READY_BLOCKED_ETSY_AUTH,,etsy paid_publish blocked by Account_Risk_State: LOGIN_ANOMALY | Edge and Chrome/Google login showed Etsy red error. Pause Etsy UI/API publish until account access is stable.
2026-05-06T20:08:38,ETSY-DIGITAL-20260506-200824,Poster-Academia-0003,"Dark Academia Serpentine Portal of Alchemical Texts | Digital Print for Study Decor, Mystical Wall Art, 12x18 Poster",6.99,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0003_dark-academia-serpentine-portal-of-alchemical-texts-12x18-poster-study-decor.zip,11.36,PASS,,0.20,RESERVED_NOT_SPENT,READY_BLOCKED_ETSY_AUTH,,etsy paid_publish blocked by Account_Risk_State: LOGIN_ANOMALY | Edge and Chrome/Google login showed Etsy red error. Pause Etsy UI/API publish until account access is stable.
2026-05-06T20:08:42,ETSY-DIGITAL-20260506-200824,Poster-Academia-0081,Celestial Armillary Sphere | Dark Academia Scholar Print | Vintage Astronomy Wall Art | 12x18 Digital Download | Quiet Study Decor,6.99,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0081_celestial-armillary-sphere-dark-academia-poster-12x18-scholar-study-decor-wall.zip,11.18,PASS,,0.20,RESERVED_NOT_SPENT,READY_BLOCKED_ETSY_AUTH,,etsy paid_publish blocked by Account_Risk_State: LOGIN_ANOMALY | Edge and Chrome/Google login showed Etsy red error. Pause Etsy UI/API publish until account access is stable.
2026-05-06T20:08:46,ETSY-DIGITAL-20260506-200824,Poster-Academia-0082,Celestial Armillary Codex | Vintage Astronomy Poster | Dark Academia Wall Art | 12x18 Digital Download,6.99,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0082_celestial-armillary-codex-academia-poster-12x18-vintage-astronomy-decor-wall.zip,13.73,PASS,,0.20,RESERVED_NOT_SPENT,READY_BLOCKED_ETSY_AUTH,,etsy paid_publish blocked by Account_Risk_State: LOGIN_ANOMALY | Edge and Chrome/Google login showed Etsy red error. Pause Etsy UI/API publish until account access is stable.
2026-05-06T20:08:49,ETSY-DIGITAL-20260506-200824,Poster-Academia-0083,Cosmic Lotus Observatory | Steampunk Academia Mentor-Grade Poster | Dark Academia Wall Art | Jade Relic Quiet Study Decor | Digital Download,12.99,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0083_academia-mentor-grade-cosmic-lotus-observatory-12x18-poster-steampunk-study.zip,10.09,PASS,,0.20,RESERVED_NOT_SPENT,READY_BLOCKED_ETSY_AUTH,,etsy paid_publish blocked by Account_Risk_State: LOGIN_ANOMALY | Edge and Chrome/Google login showed Etsy red error. Pause Etsy UI/API publish until account access is stable.
2026-05-06T20:08:51,ETSY-DIGITAL-20260506-200824,Poster-Academia-0084,Astrolabe Chalice Relic Dark Academia Poster | Vintage Study Decor | 12x18 Digital Download | Printable Wall Art for Quiet Scholar Spaces,6.99,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0084_astrolabe-chalice-relic-dark-academia-poster-12x18-vintage-study-decor-wall.zip,12.08,PASS,,0.20,RESERVED_NOT_SPENT,READY_BLOCKED_ETSY_AUTH,,etsy paid_publish blocked by Account_Risk_State: LOGIN_ANOMALY | Edge and Chrome/Google login showed Etsy red error. Pause Etsy UI/API publish until account access is stable.
2026-05-06T20:08:54,ETSY-DIGITAL-20260506-200824,Poster-Academia-0085,Orrery Lighthouse Beacon | Dark Academia Astronomy Print | Vintage Celestial Wall Art | 12x18 Digital Download | Quiet Study Decor,6.99,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0085_orrery-lighthouse-beacon-dark-academia-poster-12x18-vintage-astronomy-wall-art.zip,11.11,PASS,,0.20,RESERVED_NOT_SPENT,READY_BLOCKED_ETSY_AUTH,,etsy paid_publish blocked by Account_Risk_State: LOGIN_ANOMALY | Edge and Chrome/Google login showed Etsy red error. Pause Etsy UI/API publish until account access is stable.
2026-05-06T20:08:56,ETSY-DIGITAL-20260506-200824,Poster-Academia-0091,Dark Academia Celestial Lotus Poster | Vintage Study Room Wall Art | 12x18 Printable Digital Download | Zen Jade Relic Decor,6.99,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0091_dark-academia-celestial-lotus-poster-12x18-vintage-study-room-wall-art-decor.zip,9.17,PASS,,0.20,RESERVED_NOT_SPENT,READY_BLOCKED_ETSY_AUTH,,etsy paid_publish blocked by Account_Risk_State: LOGIN_ANOMALY | Edge and Chrome/Google login showed Etsy red error. Pause Etsy UI/API publish until account access is stable.
2026-05-06T20:08:59,ETSY-DIGITAL-20260506-200824,Poster-Zen-0001,Zen Bonsai Wall Art | Celestial Gate of Jade Mist | Premium Digital Print | Meditation Decor | Dark Academia Poster,9.99,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Zen-0001_zen-bonsai-wall-art-celestial-gate-of-jade-mist-12x18-poster-meditation-decor.zip,11.28,PASS,,0.20,RESERVED_NOT_SPENT,READY_BLOCKED_ETSY_AUTH,,etsy paid_publish blocked by Account_Risk_State: LOGIN_ANOMALY | Edge and Chrome/Google login showed Etsy red error. Pause Etsy UI/API publish until account access is stable.
