Timestamp,Old_ID,Replacement_ID,Status,Detail
2026-05-06 13:08:54 -0400,Sticker-Academia-0005,Sticker-Academia-0005-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 13:53:49 -0400,Sticker-Academia-0006,Sticker-Academia-0006-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 13:53:49 -0400,Sticker-Academia-0007,Sticker-Academia-0007-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 13:53:49 -0400,Sticker-Academia-0008,Sticker-Academia-0008-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 14:20:33 -0400,Sticker-Academia-0009,Sticker-Academia-0009-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 14:20:33 -0400,Sticker-Academia-0010,Sticker-Academia-0010-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 14:20:34 -0400,Sticker-Academia-0011,Sticker-Academia-0011-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 14:20:34 -0400,Sticker-Academia-0014,Sticker-Academia-0014-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 14:20:34 -0400,Sticker-Academia-0015,Sticker-Academia-0015-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 14:20:34 -0400,Sticker-Academia-0016,Sticker-Academia-0016-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 14:20:34 -0400,Sticker-Zen-0001,Sticker-Zen-0001-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 14:20:34 -0400,Sticker-Zen-0002,Sticker-Zen-0002-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 14:20:34 -0400,Sticker-Zen-0003,Sticker-Zen-0003-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
2026-05-06 14:20:34 -0400,Sticker-Zen-0004,Sticker-Zen-0004-FIX1,LOCAL_DRAFT_CREATED,Ready_for_Printify replacement row created; public publish still requires QA and retire sequencing.
