ID,Product_Type,Category,Local_Status,Printify_Product_ID,eBay_Item_ID,eBay_Item_URL,eBay_Title,eBay_Price,Latest_eBay_Views_30_Days,Latest_eBay_General_Status,Latest_eBay_Priority_Status,Etsy_Planned,Etsy_Title,Etsy_Launch_Status,Production_Path,Cover_Path,Gallery_Ready,Image_Note_Ready,Action_Bucket
Sticker-Academia-0001,Sticker,Academia,Quality_Hold_LowRes_U,,,,Dark Academia Celestial Gate Hourglass 4pc 6x6 Kiss-Cut Sticker Vinyl Laptop,$11.99,,,,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0001_Not_Working_LowRes\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0001_Ready_for_Steaming\Cover_Mockup.png,True,True,Hold
Sticker-Academia-0002,Sticker,Academia,Quality_Hold_LowRes_U,,,,Dark Academia Celestial Orrery Mechanism 4pc 6x6 Kiss-Cut Sticker Vinyl Laptop,$11.99,,,,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0002_Not_Working_LowRes\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0002_Ready_for_Steaming\Cover_Mockup.png,True,True,Hold
Sticker-Academia-0003,Sticker,Academia,Quality_Hold_LowRes_U,,,,Dark Academia Alchemical Distillation Apparatus 4pc 6x6 Kiss-Cut Sticker Vinyl,$11.99,,,,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0003_Not_Working_LowRes\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0003_Ready_for_Steaming\Cover_Mockup.png,True,True,Hold
Sticker-Academia-0004,Sticker,Academia,Printify_PrimaryFix_Needed,69f192aa5ea38382140f1d7b,406892408950,https://www.ebay.com/itm/406892408950,Smoky Jade Sticker Set Mechanical Raven Familiar Bottle 4pc 6x6 Kiss-Cut Vinyl,$11.99,0,Promoted,Eligible,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0004_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0004_Ready_for_Steaming\Cover_Mockup.png,True,False,Hold
Sticker-Academia-0005,Sticker,Academia,Retired_Replaced,69f198efea1f992ded0e90e7,,,Forbidden Grimoire Lock 4pc 6x6 Kiss-Cut Sticker Dark Academia Laptop Journal,$11.99,,,,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0005_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0005_Ready_for_Steaming\Cover_Mockup.png,True,True,Hold
Sticker-Academia-0006,Sticker,Academia,Retired_Replaced,69f19b945494697f0d01b78c,,,4pc Sticker Set Botanical Terrarium Lantern Vinyl Decals Laptop Bottle Dark,$11.99,,,,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0006_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0006_Ready_for_Steaming\Cover_Mockup.png,True,True,Hold
Sticker-Academia-0007,Sticker,Academia,Retired_Replaced,69f1a56756390ef4cd09be1e,,,4pc Kiss-Cut Sticker Set Astrolabe Navigation Instrument Laptop Journal Bottle,$11.99,,,,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0007_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0007_Ready_for_Steaming\Cover_Mockup.png,True,True,Hold
Sticker-Academia-0008,Sticker,Academia,Retired_Replaced,69f1a630de3c2e09400f9c5f,,,Ritual Incense Censer Gothic Academia 4pc 6x6 Vinyl Sticker Reader Writer Decor,$11.99,,,,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0008_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0008_Ready_for_Steaming\Cover_Mockup.png,True,True,Hold
Sticker-Academia-0009,Sticker,Academia,Retired_Replaced,69f1a6acc2501ebbc40ac2e5,,,4pc Sticker Set Gothic Academia Cathedral Fragment Vinyl Decals Laptop Bottle,$11.99,,,,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0009_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0009_Ready_for_Steaming\Cover_Mockup.png,True,True,Hold
Sticker-Academia-0010,Sticker,Academia,Retired_Replaced,69f1a724785a37b0240adad9,,,Vintage Academia Compass Rose Talisman 4pc 6x6 Sticker Sheet Literary Cozy Gift,$11.99,,,,False,,,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0010_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Sticker\Kiss-Cut\MASTER_Sticker-Academia-0010_Ready_for_Steaming\Cover_Mockup.png,True,True,Hold
