Priority,ID,Product_Type,eBay_Item_ID,Printify_Product_ID,Issue,Selected_Count,Unique_Visual_Count,Repair_Strategy,Can_Auto_Repair,Next_Command,Notes
96,Acrylic-Academia-0003,Acrylic,406902703464,69f2b9c3caeb1241880bae85,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Acrylic-Academia-0003 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Acrylic-Grimdark-0082,Acrylic,406902633400,69f2a7d0e64c9f31b70f79cf,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Acrylic-Grimdark-0082 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Acrylic-Grimdark-0083,Acrylic,406902885214,69f2bac6343d8ca093077dd8,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Acrylic-Grimdark-0083 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Acrylic-Zen-0002,Acrylic,406902657898,69f2a8a5357398ded80f8faf,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Acrylic-Zen-0002 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Acrylic-Zen-0003,Acrylic,406902673249,69f2a9b45f78c14a7b0a7290,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Acrylic-Zen-0003 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Acrylic-Zen-0004,Acrylic,406902888077,69f2bbbc343d8ca093077e9a,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Acrylic-Zen-0004 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Acrylic-Zen-0005,Acrylic,406902893289,69f2c22e9b469f716d0ea954,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Acrylic-Zen-0005 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Acrylic-Zen-0006,Acrylic,406902898909,69f2d2a1c326d7da170c51b4,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Acrylic-Zen-0006 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Acrylic-Zen-0007,Acrylic,406903028253,69f2d3ab5f78c14a7b0a8b87,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Acrylic-Zen-0007 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Acrylic-Zen-0008,Acrylic,406903036452,69f2d49b81039eb9ab0b583c,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Acrylic-Zen-0008 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Poster-Academia-0002,Poster,406902600741,69f2906f7f1017d51b0d5f76,CHECK_CUSTOM_GALLERY_REPEATS_RISK,9,9,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Poster-Academia-0002 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Poster-Academia-0006,Poster,406903042690,69f84864feed9979d10cd5ba,CHECK_CUSTOM_GALLERY_REPEATS_RISK,9,8,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Poster-Academia-0006 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Poster-Academia-0081,Poster,406902627420,69f29fe09577aaffd5068e03,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Poster-Academia-0081 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Poster-Academia-0082,Poster,406902648209,69f2a0cacaeb1241880b9e8d,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Poster-Academia-0082 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Poster-Academia-0083,Poster,406902669660,69f2a1b8a7777da197101a96,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Poster-Academia-0083 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Poster-Academia-0084,Poster,406902691983,69f2a2aacaeb1241880b9f6b,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Poster-Academia-0084 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Poster-Academia-0085,Poster,406902882943,69f2b132cd8d04605103fdaa,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Poster-Academia-0085 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Poster-Academia-0091,Poster,406902887127,69f2b7ada7777da1971028d7,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Poster-Academia-0091 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
96,Poster-Zen-0001,Poster,406902890971,69f2dc76cd8d046051041f06,CHECK_CUSTOM_GALLERY_REPEATS_RISK,5,5,REBUILD_OR_RESELECT_OFFICIAL_ONLY,No,py modules\printify_gallery_duplicate_audit.py --ids Poster-Zen-0001 --deep-hash,Non-sticker products should show one actual artwork plus official product-context mockups. Custom U/detail gallery on live marketplace can look like repeated product spam.
