Timestamp,ID,Product_Type,Printify_Product_ID,eBay_Item_ID,HTTP_Get,HTTP_Update,HTTP_Publish,Result,Error
2026-05-07 02:48:20 -0400,Acrylic-Zen-0006,Acrylic,69f2d2a1c326d7da170c51b4,406902898909,200,200,200,OK,
2026-05-07 02:48:44 -0400,Acrylic-Zen-0007,Acrylic,69f2d3ab5f78c14a7b0a8b87,406903028253,200,200,200,OK,
2026-05-07 02:49:22 -0400,Acrylic-Grimdark-0085,Acrylic,69f2e4c77e3402ea470630eb,406903043482,200,200,200,OK,
2026-05-07 02:49:45 -0400,Acrylic-Grimdark-0014,Acrylic,69f8669583a8608fd80f0fdb,406909159060,200,200,200,OK,
2026-05-07 02:50:22 -0400,Acrylic-Grimdark-0019,Acrylic,69f86f6c2810b52a940a4161,406909223875,200,200,200,OK,
2026-05-07 02:51:50 -0400,Acrylic-Grimdark-0027,Acrylic,69f884ed83a8608fd80f239c,406909233684,200,200,200,OK,
2026-05-07 02:52:23 -0400,Acrylic-Grimdark-0033,Acrylic,69f8904bc1f268dee601c34f,406909240724,200,200,200,OK,
2026-05-07 02:52:53 -0400,Acrylic-Grimdark-0038,Acrylic,69f8928b25819cdf3d057ef7,406910074365,200,200,200,OK,
2026-05-07 02:53:36 -0400,Poster-Academia-0019,Poster,69f89b9ca70f06579a00a708,406903744471,200,200,200,OK,
2026-05-07 02:53:58 -0400,Poster-Academia-0036,Poster,69fbc0482b1da073620161ad,406909472775,200,200,200,OK,
2026-05-07 07:37:59 -0400,Poster-Zen-0005,Poster,69f2db1a3c6616b960034a37,406903033377,200,200,200,OK,
2026-05-07 07:38:15 -0400,Acrylic-Grimdark-0005,Acrylic,69f8388b25819cdf3d0538bc,406903251829,200,200,200,OK,
2026-05-07 07:38:30 -0400,Acrylic-Grimdark-0008,Acrylic,69f83a955da263f75f04c06a,406903746215,200,200,200,OK,
2026-05-07 07:38:48 -0400,Acrylic-Grimdark-0010,Acrylic,69f83c14ffbc831dea082fa3,406903756190,200,200,200,OK,
2026-05-07 07:39:05 -0400,Poster-Academia-0008,Poster,69f84b3d5da263f75f04d1f7,406903046097,200,200,200,OK,
2026-05-07 07:39:19 -0400,Acrylic-Grimdark-0016,Acrylic,69f86a3d25819cdf3d0563b6,406909215172,200,200,200,OK,
2026-05-07 07:39:34 -0400,Acrylic-Grimdark-0030,Acrylic,69f886005da263f75f04fc9d,406909235356,200,200,200,OK,
2026-05-07 07:40:00 -0400,Acrylic-Grimdark-0031,Acrylic,69f88ee825819cdf3d057c87,406909236640,200,200,200,OK,
2026-05-07 07:40:25 -0400,Acrylic-Grimdark-0035,Acrylic,69f89116b051b8a0e90b9662,406909243824,200,200,200,OK,
2026-05-07 07:40:47 -0400,Acrylic-Grimdark-0039,Acrylic,69f8931cb051b8a0e90b97c7,406910075457,200,200,200,OK,
