Timestamp,ID,Title,Source_Path,Pack_Folder,Zip_Path,Zip_MB,Build_Status,Suggested_Etsy_Price,Listing_Status
2026-05-06T18:43:07,Poster-Academia-0001,Celestial Gateway Dark Academia Poster 12x18 Study Decor Moonstone Architecture,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0001_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0001_celestial-gateway-dark-academia-poster-12x18-study-decor-moonstone-architecture,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0001_celestial-gateway-dark-academia-poster-12x18-study-decor-moonstone-architecture.zip,11.31,quality_92,$6.99,LOCAL_READY_NOT_PUBLISHED
2026-05-06T18:43:19,Poster-Academia-0002,Dark Academia Obsidian Threshold Poster 12x18 Vintage Study Decor Mentor Wisdom,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0002_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0002_dark-academia-obsidian-threshold-poster-12x18-vintage-study-decor-mentor-wisdom,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0002_dark-academia-obsidian-threshold-poster-12x18-vintage-study-decor-mentor-wisdom.zip,12.63,quality_92,$6.99,LOCAL_READY_NOT_PUBLISHED
2026-05-06T18:43:29,Poster-Academia-0003,Dark Academia Serpentine Portal of Alchemical Texts 12x18 Poster Study Decor,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0003_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0003_dark-academia-serpentine-portal-of-alchemical-texts-12x18-poster-study-decor,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0003_dark-academia-serpentine-portal-of-alchemical-texts-12x18-poster-study-decor.zip,11.36,quality_92,$6.99,LOCAL_READY_NOT_PUBLISHED
2026-05-06T18:43:38,Poster-Academia-0081,Celestial Armillary Sphere Dark Academia Poster 12x18 Scholar Study Decor Wall,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0081_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0081_celestial-armillary-sphere-dark-academia-poster-12x18-scholar-study-decor-wall,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0081_celestial-armillary-sphere-dark-academia-poster-12x18-scholar-study-decor-wall.zip,11.18,quality_92,$6.99,LOCAL_READY_NOT_PUBLISHED
2026-05-06T18:43:50,Poster-Academia-0082,Celestial Armillary Codex Academia Poster 12x18 Vintage Astronomy Decor Wall,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0082_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0082_celestial-armillary-codex-academia-poster-12x18-vintage-astronomy-decor-wall,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0082_celestial-armillary-codex-academia-poster-12x18-vintage-astronomy-decor-wall.zip,13.73,quality_92,$6.99,LOCAL_READY_NOT_PUBLISHED
2026-05-06T18:44:00,Poster-Academia-0083,Academia Mentor-Grade Cosmic Lotus Observatory 12x18 Poster Steampunk Study,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0083_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0083_academia-mentor-grade-cosmic-lotus-observatory-12x18-poster-steampunk-study,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0083_academia-mentor-grade-cosmic-lotus-observatory-12x18-poster-steampunk-study.zip,10.09,quality_92,$6.99,LOCAL_READY_NOT_PUBLISHED
2026-05-06T18:44:11,Poster-Academia-0084,Astrolabe Chalice Relic Dark Academia Poster 12x18 Vintage Study Decor Wall,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0084_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0084_astrolabe-chalice-relic-dark-academia-poster-12x18-vintage-study-decor-wall,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0084_astrolabe-chalice-relic-dark-academia-poster-12x18-vintage-study-decor-wall.zip,12.08,quality_92,$6.99,LOCAL_READY_NOT_PUBLISHED
2026-05-06T18:44:20,Poster-Academia-0085,Orrery Lighthouse Beacon Dark Academia Poster 12x18 Vintage Astronomy Wall Art,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0085_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0085_orrery-lighthouse-beacon-dark-academia-poster-12x18-vintage-astronomy-wall-art,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0085_orrery-lighthouse-beacon-dark-academia-poster-12x18-vintage-astronomy-wall-art.zip,11.11,quality_92,$6.99,LOCAL_READY_NOT_PUBLISHED
2026-05-06T18:44:28,Poster-Academia-0091,Dark Academia Celestial Lotus Poster 12x18 Vintage Study Room Wall Art Decor,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Academia-0091_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0091_dark-academia-celestial-lotus-poster-12x18-vintage-study-room-wall-art-decor,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Academia-0091_dark-academia-celestial-lotus-poster-12x18-vintage-study-room-wall-art-decor.zip,9.17,quality_92,$6.99,LOCAL_READY_NOT_PUBLISHED
2026-05-06T18:44:37,Poster-Zen-0001,Zen Bonsai Wall Art Celestial Gate of Jade Mist 12x18 Poster Meditation Decor,C:\AIprojects\openclaw_difi\Output\Poster\Premium-Matte-Vertical\MASTER_Poster-Zen-0001_Ready_for_Steaming\Production_Design.png,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Zen-0001_zen-bonsai-wall-art-celestial-gate-of-jade-mist-12x18-poster-meditation-decor,C:\AIprojects\openclaw_difi\Output\Digital\Printable_Wall_Art\Poster-Zen-0001_zen-bonsai-wall-art-celestial-gate-of-jade-mist-12x18-poster-meditation-decor.zip,11.28,quality_92,$6.99,LOCAL_READY_NOT_PUBLISHED
